105	268.1 KB 	 312	4 ms	704.4 KB 	 130685
106	225.9 KB 	 169	4 ms	627.8 KB 	 117060
107	0.0 B 	 0		0.0 B 	 0
108	0.0 B 	 0		0.0 B 	 0
109	0.0 B 	 0		0.0 B 	 0
110	152.0 KB 	 137	3 ms	413.4 KB 	 69236
111	658.5 KB 	 655	3 ms	522.3 KB 	 91694
112	168.0 KB 	 155	3 ms	467.0 KB 	 87843
113	2.8 MB 	 3028		196.0 B 	 9
114	0.0 B 	 0		0.0 B 	 0
115	142.5 KB 	 171		0.0 B 	 0
116	0.0 B 	 0		0.0 B 	 0
117	237.6 KB 	 261	4 ms	700.3 KB 	 120849
118	971.0 B 	 9		193.0 B 	 9
119	532.3 KB 	 590	18 ms	1596.8 KB 	 293903
120	967.0 B 	 9		195.0 B 	 9
121	968.0 B 	 9		193.0 B 	 9
122	335.4 KB 	 308		0.0 B 	 0
123	168.4 KB 	 183	2 ms	320.6 KB 	 51213
124	0.0 B 	 0		0.0 B 	 0
125	0.0 B 	 0		0.0 B 	 0
126	198.7 KB 	 234		0.0 B 	 0
127	2.4 MB 	 2463	80 ms	5.1 MB 	 848825
128	122.2 KB 	 114		0.0 B 	 0
129	257.6 KB 	 248	52 ms	473.2 KB 	 79164
130	165.6 KB 	 208	23 ms	585.6 KB 	 110474
131	0.0 B 	 0		0.0 B 	 0
132	181.3 KB 	 202	22 ms	400.1 KB 	 67833
133	195.3 KB 	 185	52 ms	534.4 KB 	 95000
134	968.0 B 	 9		195.0 B 	 9
135	0.0 B 	 0		0.0 B 	 0
136	0.0 B 	 0		0.0 B 	 0
137	185.3 KB 	 197	2 ms	373.6 KB 	 66136
138	968.0 B 	 9		195.0 B 	 9
139	158.2 KB 	 180		0.0 B 	 0
140	587.2 KB 	 599	19 ms	1008.6 KB 	 170784
141	0.0 B 	 0		0.0 B 	 0
142	340.2 KB 	 465	8 ms	723.7 KB 	 121365
143	199.0 KB 	 207	5 ms	367.6 KB 	 57079
144	408.0 KB 	 467		0.0 B 	 0
145	964.0 B 	 9		194.0 B 	 9
146	0.0 B 	 0		0.0 B 	 0
147	0.0 B 	 0		0.0 B 	 0
148	850.5 KB 	 884	9 ms	2.1 MB 	 383142
149	1720.0 B 	 16		295.0 B 	 16
150	0.0 B 	 0		0.0 B 	 0
151	207.5 KB 	 190	16 ms	599.9 KB 	 100795
152	0.0 B 	 0		0.0 B 	 0
153	968.0 B 	 9		193.0 B 	 9
154	874.8 KB 	 1033	5 ms	954.2 KB 	 160347
155	156.8 KB 	 167	9 ms	288.0 KB 	 42801
156	712.0 KB 	 759	44 ms	1217.9 KB 	 208195
157	1419.5 KB 	 1561	45 ms	3.1 MB 	 527758
158	929.1 KB 	 989	20 ms	2005.1 KB 	 343994
159	165.1 KB 	 167	69 ms	408.1 KB 	 76369
160	688.1 KB 	 763	42 ms	1217.9 KB 	 197703
161	2.0 KB 	 19		280.0 B 	 19
162	0.0 B 	 0		0.0 B 	 0
163	150.9 KB 	 184	4 ms	416.1 KB 	 73701
164	450.2 KB 	 545	34 ms	926.4 KB 	 167560
165	307.7 KB 	 279	16 ms	577.8 KB 	 97344
166	119.4 KB 	 143	43 ms	257.3 KB 	 41034
167	0.0 B 	 0		0.0 B 	 0
168	589.8 KB 	 542	16 ms	639.4 KB 	 120678
169	972.0 B 	 9		196.0 B 	 9
170	0.0 B 	 0		0.0 B 	 0
171	463.2 KB 	 501	34 ms	952.3 KB 	 174012
172	135.1 KB 	 164	2 ms	257.3 KB 	 38357
173	226.1 KB 	 346	22 ms	519.3 KB 	 80780
174	240.9 KB 	 223	8 ms	454.0 KB 	 77520
175	0.0 B 	 0		0.0 B 	 0
176	431.9 KB 	 387	7 ms	873.2 KB 	 152971
177	0.0 B 	 0		0.0 B 	 0
178	221.4 KB 	 217	3 ms	386.6 KB 	 60350
179	132.4 KB 	 188	4 ms	414.4 KB 	 71104
180	0.0 B 	 0		0.0 B 	 0
181	62.0 KB 	 124	1 ms	129.4 KB 	 16812
182	1034.3 KB 	 1007	89 ms	1808.3 KB 	 303971
183	0.0 B 	 0		0.0 B 	 0
184	1598.5 KB 	 1491	38 ms	2.9 MB 	 471557
185	0.0 B 	 0		0.0 B 	 0
186	1486.5 KB 	 1406	11 ms	2.5 MB 	 430557
187	384.8 KB 	 393		0.0 B 	 0
188	0.0 B 	 0		0.0 B 	 0
189	1292.0 B 	 12		223.0 B 	 12
190	0.0 B 	 0		0.0 B 	 0
191	0.0 B 	 0		0.0 B 	 0
192	0.0 B 	 0		0.0 B 	 0
193	1080.0 B 	 10		206.0 B 	 10
194	0.0 B 	 0		0.0 B 	 0
195	266.3 KB 	 331	11 ms	477.5 KB 	 74577
196	170.2 KB 	 195	17 ms	325.5 KB 	 47278
197	1944.0 B 	 18		317.0 B 	 18
198	579.1 KB 	 538	15 ms	693.3 KB 	 123552
199	978.9 KB 	 1123	37 ms	3.0 MB 	 523767
200	0.0 B 	 0		0.0 B 	 0
201	138.8 KB 	 150	8 ms	270.7 KB 	 42046
202	684.3 KB 	 736	8 ms	1353.0 KB 	 236501
203	1393.7 KB 	 1452	0.1 s	2.8 MB 	 467258
204	0.0 B 	 0		0.0 B 	 0
205	0.0 B 	 0		0.0 B 	 0
206	475.9 KB 	 585	7 ms	875.7 KB 	 149303
207	0.0 B 	 0		0.0 B 	 0
208	562.1 KB 	 571	16 ms	1676.8 KB 	 309633
209	0.0 B 	 0		0.0 B 	 0
210	303.5 KB 	 367	17 ms	957.1 KB 	 167643
211	0.0 B 	 0		0.0 B 	 0
212	1948.0 B 	 19		273.0 B 	 19
213	114.7 KB 	 135	8 ms	223.7 KB 	 30910
214	126.4 KB 	 152	2 ms	262.4 KB 	 37272
215	965.1 KB 	 992	9 ms	2.0 MB 	 381083
216	916.2 KB 	 835	5 ms	938.8 KB 	 166850
217	1093.6 KB 	 1042	4 ms	579.5 KB 	 102505
218	0.0 B 	 0		0.0 B 	 0
219	0.0 B 	 0		0.0 B 	 0
220	177.5 KB 	 183	4 ms	325.8 KB 	 49346
221	137.3 KB 	 161	2 ms	310.6 KB 	 48734
222	403.6 KB 	 429	47 ms	759.6 KB 	 146856
223	0.0 B 	 0		0.0 B 	 0
224	398.1 KB 	 381	6 ms	696.5 KB 	 115973
225	0.0 B 	 0		0.0 B 	 0
226	0.0 B 	 0		0.0 B 	 0
227	234.5 KB 	 189	74 ms	418.5 KB 	 66506
228	195.2 KB 	 289	3 ms	625.4 KB 	 104307
229	136.9 KB 	 207	2 ms	326.4 KB 	 45054
230	483.3 KB 	 513	6 ms	828.1 KB 	 138620
231	0.0 B 	 0		0.0 B 	 0
232	7.5 MB 	 8227	7 ms	992.5 KB 	 173142
233	475.4 KB 	 485	7 ms	1007.8 KB 	 177982
234	261.3 KB 	 320	4 ms	701.1 KB 	 126616
235	127.6 KB 	 116		0.0 B 	 0
236	0.0 B 	 0		0.0 B 	 0
237	248.0 KB 	 309	4 ms	479.6 KB 	 69025
238	233.2 KB 	 360	4 ms	431.1 KB 	 65351
239	2.1 KB 	 20		334.0 B 	 20
